"OBJECTID","NAME","ADDRESS"
61,"McClymond's Mini Park","2528 Linden St"
62,"12th Street Dam Area","20 12th St"
63,"Athol Plaza Park","1700 Lakeshore Ave"
64,"Collins Plaza Park","2240 San Pablo Ave"
65,"Raimondi Park","1650 20th St"
66,"Channel Park","1 10th St"
67,"14th St Pocket Park","14th St & Wood"
68,"Bertha Port Park","750 Wood St"
69,"Chester Street Park","327 Chester St"
70,"Union Plaza","3399 Peralta St"
71,"Peralta Hacienda Park","2500 34th Ave"
72,"Fitzgerald Park","1300 Fitzgerald St"
73,"Bishop Begin Plaza","2070 San Pablo Av"
74,"Frank Ogawa Plaza","City Hall Paza"
75,"Jefferson Square","618 Jefferson St"
76,"Lafayette Square Park","635 11th St"
77,"Eastshore Park","550 El Embarcadero"
78,"Mandana Plaza Park","600 Mandana Ave"
79,"Cleveland Cascade","2292 Lakeshore Ave"
80,"Pine Knoll Park","Lakeshore Ave & Hanover Ave"
81,"Snow Park","19th St & Harrison St"
82,"23rd Ave Overpass","2257 E 12th St"
83,"25th St Mini Park (closed)","2417 M L King Wy"
84,"Foothill Meadows Park","3705 Foothill Blvd"
85,"Fruitvale Bridge Park","3205 Alameda Ave"
86,"Fruitvale Plaza Park","1412 35th Ave"
87,"Foothill Meadows Park Extension","1800 38th Ave"
88,"Josie de la Cruz Park","1637 Fruitvale Ave"
89,"Lazear Field","850 29th Ave"
90,"Cryer Site","1899 Dennison St"
91,"Union Point Park","2311 Embarcadero"
92,"Bushrod Park","560 59th St"
93,"Colby Park","Colby St & 61st St"
94,"Grove Shafter Park 1","36th St & Martin Luther King Jr Way"
95,"Grove Shafter Park 2","36th St & Martin Luther King Jr Way"
96,"Grove Shafter Park 3","36th St & Martin Luther King Jr Way"
97,"Driver Plaza","6031 Genoa St"
98,"Hardy Park (Dog Park)","491 Hardy St"
99,"Helen McGregor Plaza","5210 West St"
100,"Linden Park","998 42nd St"
101,"Martin Luther King Jr Plaza (Dover Park)","5707 Dover St"
102,"FM Smith Park","1969 Park Bl"
103,"Glen Echo Creek Park","102 Monte Vista Av"
104,"Morcom Rose Garden","700 Jean St"
105,"Mosswood Park","3612 Webster St"
106,"Oak Park","3239 Kempton Av"
107,"Park Blvd Plaza Park","2100 Park Bl"
108,"Splash Pad Park","Grand Ave & Lakepark"
109,"Allendale Park","3711 Suter St"
110,"Ayala Mini Park","5722 Ayala Ave"
111,"Bay Pointe Park","8Th Street & Myrtle"
112,"88th Ave Mini Park","1805 88th Av"
113,"Brookdale Park","2535 High St"
114,"Chinese Garden Park","7th St & Harrison St"
115,"Curt Flood Field","3200 Coolidge Av"
116,"Dimond Canyon","3860 Hanly Rd"
117,"Estuary Channel Park","201 Embarcadero"
118,"Franklin Fountain","Franklin St & Broadway"
119,"Gateway Gardens Park","Tunnel Road & Caldecott Lane"
120,"Golden Gate Park","1075 62nd St"
121,"Joaquin Miller Park","3450 Joaquin Miller Rd"
122,"Knowland Park","9777 Golf Links Rd"
123,"Lakeside Park","400 Grand Av"
124,"Leona Heights","4450 Mountain Blvd"
125,"Lincoln Square Park","250 10th St"
